用户名,用户uid,用户ID,粉丝数量,发表时间,视频awemeid,视频url,视频描述,视频时长,点赞数量,收藏数量,评论数量,下载数量,分享数量,总互动量
云溪尘（王者百晓生）,a98401154472,MS4wLjABAAAAYR1OsjdlIjzcI6KpSksksSbHMNhM8LnGKdJ2kHJMvrQ,162465,2025.01.13,a7459288678699896101,https://www.douyin.com/video/7459288678699896101,千年排位赛大顺风队友却突然摆烂，赛后复盘却发现错怪此人还以清白#千年万牢之主 #万牢之主 #王者荣耀 #游戏日常 #峡谷人的精神状态,02:59,345,18,470,0,17,850
一蛋游戏解说,a143392247393007,MS4wLjABAAAAcmF4Dozc2rh7mbqippHCKHmH0ec5MHJp_wGE9wIMkj4,23972,2024.12.25,a7452292259703180584,https://www.douyin.com/video/7452292259703180584,新赛季防摆烂系统出现大量误封，大量玩家因此破防#王者s38赛季  #内容启发搜索,01:10,24798,1023,5356,302,33171,64650
制氧机。,a25424767385,MS4wLjABAAAAuwGhqFhSvByXzSfmXuilGZr-d3HgtcLU0XZ8u6mn7Ek,231,2022.09.17,a7144378078607707426,https://www.douyin.com/video/7144378078607707426,只因为一句：“就剩咱俩也要好好打。”#英雄联盟 #游戏日常 #lol #摆烂,00:06,80213,3167,6940,412,7122,97854
维忆要努力🔥（陪玩店在主页）,a92326170013,MS4wLjABAAAA_O_8qw4GduOc-13nffOqJ0n8H6UHbeMAfd2pNMhye2A,337555,2021.12.10,a7039928112741715211,https://www.douyin.com/video/7039928112741715211,连胜就排摆烂队友？利用好elo 机制，轻松把小代留在自己这边。躺到97胜率白金4排钻1，这不快乐？#英雄联盟 #elo,02:31,79210,2065,13878,8398,43984,147535
大破绽游戏解说,a100944749475,MS4wLjABAAAA0nuYdDHJBIzstoHV651d7MSy6W6iF8VUNPsZQDUq618,204643,2025.01.10,a7458081535946689827,https://www.douyin.com/video/7458081535946689827,自家队友明演摆烂，对面打野疯狂针对，峥峥这把究竟能不能挺得住？#游戏日常 #峥峥王者荣耀,02:55,533,41,9,1,25,609
Taka（国一穿甲瞎）,a101516501241,MS4wLjABAAAAuSjzVCbW1IWS_tqFY3xmy1teyJ650dVhrGOQk3gum6s,81642,2024.07.03,a7387363443101289738,https://www.douyin.com/video/7387363443101289738,敌人嘲讽队友摆烂 如何破局 #lol #盲僧 #游戏日常 #意识操作 #穿甲盲僧,05:12,1277,45,175,0,98,1595
老四解说,a98116502042,MS4wLjABAAAA2kOA6XDiEZspFLYJ1uTwNCthChnuGRA4s7tl6hZHLp4,424852,2022.06.15,a7109339723969252638,https://www.douyin.com/video/7109339723969252638,摆烂也不用被禁赛！一招教你恢复信誉！#英雄联盟手游 #lol手游 #lol手游资讯,00:21,2607,396,84,442,2064,5593
李狗带🚹,a2454554417846942,MS4wLjABAAAAWX29M7bC8bTQpf6OoIwsMGfhSB1K-TNXAHvW6-lVuqtM7h7NcduKPkwKRwk1SsfC,1129,2021.11.26,a7034806726297783586,https://www.douyin.com/video/7034806726297783586,队友摆烂？心态与技术同样重要#lolm #英雄联盟手游国服 #lolm随时随地,03:06,107,2,54,0,2,165
taty,a101620453952,MS4wLjABAAAAyKa4eon2EMvCkz2WrIK5L5wOY1hZ6D9xj7uaOump5rA,450,2024.04.16,a7358130757027564836,https://www.douyin.com/video/7358130757027564836,开局队友抢位置还开喷 这把怎么赢#lol  #游戏日常分享  #摆烂队友   #adc,05:26,165,11,49,0,11,236
如梦佛耶戈,a2421597918207024,MS4wLjABAAAA6YqkX6yM-p6bl3NL-zzKSfCL-rvSzXgl03TLFGhYLPfg8i7NkQf9R4JF22hmIq6m,29753,2024.12.29,a7453753811438406972,https://www.douyin.com/video/7453753811438406972,无数次的绝境翻盘，却只带来了无数次加强过的ELO#lol #破败之王 #击杀集锦,00:56,148,5,6,0,6,165
